"country","project_code_in","component_code_in","section_code_in","cost_type","year","work_type","duration","length_km","cost_M_USD_per_km","rocks_wave","ccode","wb_region","inc_group","proj.component.section","project_country","project_idx","section_idx","section_code"
"India","P009972","C1","S1","Estimate","2000","Widening and Reconstruction",42,62,1.38709677419355,"rocks_2018","IND","South Asia","Lower middle income","P009972 C1 S1","India P009972",2701,1790,"27011790"
"India","P070421","C1","S1","Actual","2008","Widening and Reconstruction",NA,76,0.309210526315789,"rocks_2018","IND","South Asia","Lower middle income","P070421 C1 S1","India P070421",2705,2001,"27052001"
"India","P050649","C1","S1","Estimate","2003","Widening and Reconstruction",NA,401,0.345486284289277,"rocks_2018","IND","South Asia","Lower middle income","P050649 C1 S1","India P050649",2702,1851,"27021851"
"Indonesia","P074290","C1","S1","Estimate","2004","Asphalt Mix Resurfacing",NA,124.1,0.0657534246575343,"rocks_2018","IDN","East Asia & Pacific","Lower middle income","P074290 C1 S1","Indonesia P074290",2842,2053,"28422053"
"Indonesia","P040578","C1","S1","Estimate","2001","Asphalt Mix Resurfacing",NA,1000,0.04478,"rocks_2018","IDN","East Asia & Pacific","Lower middle income","P040578 C1 S1","Indonesia P040578",2841,1824,"28411824"
"Indonesia","P074290","C1","S1","Actual","2012","Asphalt Mix Resurfacing",NA,47.2,0.13135593220339,"rocks_2018","IDN","East Asia & Pacific","Lower middle income","P074290 C1 S1","Indonesia P074290",2842,2053,"28422053"
"Indonesia","P040578","C1","S1","Actual","2006","Asphalt Mix Resurfacing",NA,1111,0.0453015301530153,"rocks_2018","IDN","East Asia & Pacific","Lower middle income","P040578 C1 S1","Indonesia P040578",2841,1824,"28411824"
"Indonesia","P079906","C1","S1","Estimate","2006","Strengthening",NA,141.8,0.529619181946403,"rocks_2018","IDN","East Asia & Pacific","Lower middle income","P079906 C1 S1","Indonesia P079906",2843,2120,"28432120"
"Indonesia","P079906","C1","S1","Actual","2014","Strengthening",NA,106.4,0.593984962406015,"rocks_2018","IDN","East Asia & Pacific","Lower middle income","P079906 C1 S1","Indonesia P079906",2843,2120,"28432120"
"Iraq","P087735","C1","S1","Estimate","2014","Strengthening",9,10,0.25,"rocks_2018","IRQ","Middle East & North Africa","Upper middle income","P087735 C1 S1","Iraq P087735",2848,2226,"28482226"
"Iraq","P087735","C1","S1","Actual","2014","Strengthening",12,10,0.24,"rocks_2018","IRQ","Middle East & North Africa","Upper middle income","P087735 C1 S1","Iraq P087735",2848,2226,"28482226"
"Jordan","P081505","C1","S1","Actual","2013","New 4L Expressway",NA,18.5,6.27567567567568,"rocks_2018","JOR","Middle East & North Africa","Upper middle income","P081505 C1 S1","Jordan P081505",2858,2124,"28582124"
"Jordan","P081505","C1","S1","Estimate","2004","New 4L Expressway",46,18.5,2.35675675675676,"rocks_2018","JOR","Middle East & North Africa","Upper middle income","P081505 C1 S1","Jordan P081505",2858,2124,"28582124"
"Kenya","P082615","C1","S1","Estimate","2004","Widening and Reconstruction",28,35,0.419714285714286,"rocks_2018","KEN","Sub-Saharan Africa","Lower middle income","P082615 C1 S1","Kenya P082615",2924,2139,"29242139"
"Kenya","P082615","C1","S1","Actual","2016","Widening and Reconstruction",NA,35,1.38942857142857,"rocks_2018","KEN","Sub-Saharan Africa","Lower middle income","P082615 C1 S1","Kenya P082615",2924,2139,"29242139"
"Kyrgyz Republic","P050719","C1","S1","Estimate","2000","Strengthening",28,72,0.229166666666667,"rocks_2018","KGZ","Europe & Central Asia","Lower middle income","P050719 C1 S1","Kyrgyz Republic P050719",2943,1857,"29431857"
"Kyrgyz Republic","P107608","C1","S1","Estimate","2009","Upgrading",24,30,0.859666666666667,"rocks_2018","KGZ","Europe & Central Asia","Lower middle income","P107608 C1 S1","Kyrgyz Republic P107608",2944,2323,"29442323"
"Kyrgyz Republic","P107608","C1","S1","Actual","2015","Upgrading",26,32,0.753125,"rocks_2018","KGZ","Europe & Central Asia","Lower middle income","P107608 C1 S1","Kyrgyz Republic P107608",2944,2323,"29442323"
"Kyrgyz Republic","P050719","C1","S1","Actual","2006","Strengthening",NA,80,0.19125,"rocks_2018","KGZ","Europe & Central Asia","Lower middle income","P050719 C1 S1","Kyrgyz Republic P050719",2943,1857,"29431857"
"Lao PDR","P064821","C1","S1","Actual","2005","Bituminous Pavement Preventive Treatment",NA,2762,0.0116147719044171,"rocks_2018","LAO","East Asia & Pacific","Lower middle income","P064821 C1 S1","Lao PDR P064821",3032,1901,"30321901"
"Lao PDR","P083543","C1","S1","Estimate","2004","Surface Treatment Resurfacing",12,12,0.01,"rocks_2018","LAO","East Asia & Pacific","Lower middle income","P083543 C1 S1","Lao PDR P083543",3033,2170,"30332170"
"Lao PDR","P064821","C1","S1","Estimate","2001","Bituminous Pavement Preventive Treatment",NA,1400,0.0209357142857143,"rocks_2018","LAO","East Asia & Pacific","Lower middle income","P064821 C1 S1","Lao PDR P064821",3032,1901,"30321901"
"Lao PDR","P083543","C1","S1","Actual","2011","Surface Treatment Resurfacing",12,12,0.0100760833333333,"rocks_2018","LAO","East Asia & Pacific","Lower middle income","P083543 C1 S1","Lao PDR P083543",3033,2170,"30332170"
"Macedonia, FYR","P107840","C1","S1","Actual","2016","Reconstruction",25,19.1,0.131401645474944,"rocks_2018","MKD","Europe & Central Asia","Upper middle income","P107840 C1 S1","Macedonia, FYR P107840",3123,2338,"31232338"
"Macedonia, FYR","P107840","C1","S1","Estimate","2008","Reconstruction",NA,15.2,0.13755980861244,"rocks_2018","MKD","Europe & Central Asia","Upper middle income","P107840 C1 S1","Macedonia, FYR P107840",3123,2338,"31232338"
"Madagascar","P082806","C1","S1","Actual","2013","Asphalt Mix Resurfacing",39,314.5,0.135706,"rocks_2018","MDG","Sub-Saharan Africa","Low income","P082806 C1 S1","Madagascar P082806",3144,2158,"31442158"
"Madagascar","P082806","C1","S1","Estimate","2003","Asphalt Mix Resurfacing",24,249,0.026868,"rocks_2018","MDG","Sub-Saharan Africa","Low income","P082806 C1 S1","Madagascar P082806",3144,2158,"31442158"
"Madagascar","P052208","C1","S1","Estimate","2000","Surface Treatment Resurfacing",NA,527,0.0178368121442125,"rocks_2018","MDG","Sub-Saharan Africa","Low income","P052208 C1 S1","Madagascar P052208",3142,1861,"31421861"
"Madagascar","P052208","C1","S1","Actual","2006","Surface Treatment Resurfacing",NA,527,0.0396584440227704,"rocks_2018","MDG","Sub-Saharan Africa","Low income","P052208 C1 S1","Madagascar P052208",3142,1861,"31421861"
"Mauritius","P091828","C1","S1","Estimate","2009","Partial Widening and Reconstruction",NA,12.1,1.78512396694215,"rocks_2018","MUS","Sub-Saharan Africa","Upper middle income","P091828 C1 S1","Mauritius P091828",3185,2264,"31852264"
"Mauritius","P091828","C1","S1","Actual","2015","Partial Widening and Reconstruction",18,12.1,2.8,"rocks_2018","MUS","Sub-Saharan Africa","Upper middle income","P091828 C1 S1","Mauritius P091828",3185,2264,"31852264"
"Mexico","P065779","C1","S1","Actual","2007","Reconstruction",NA,14.4,0.106944444444444,"rocks_2018","MEX","Latin America & Caribbean","Upper middle income","P065779 C1 S1","Mexico P065779",3243,1921,"32431921"
"Mexico","P065779","C1","S1","Estimate","2000","Reconstruction",NA,14.4,0.1125,"rocks_2018","MEX","Latin America & Caribbean","Upper middle income","P065779 C1 S1","Mexico P065779",3243,1921,"32431921"
"Morocco","P082754","C1","S1","Estimate","2004","Reconstruction",54,24,0.0647948164146868,"rocks_2018","MAR","Middle East & North Africa","Lower middle income","P082754 C1 S1","Morocco P082754",3267,2145,"32672145"
"Morocco","P082754","C1","S1","Actual","2011","Reconstruction",69,18.7,0.0845740519883558,"rocks_2018","MAR","Middle East & North Africa","Lower middle income","P082754 C1 S1","Morocco P082754",3267,2145,"32672145"
